play_id,ref_made_call
20150302LACMIN-7,Sean Wright
20150303WASCHI-3,
20150304LALMIA-5,Nick Buchert
20150306LALMEM-10,James Williams
20150306MIAWAS-1,Jason Phillips
20150307SACMIA-16,Scott Wall
20150307WASMIL-2,Curtis Blair
20150311CHIPHI-16,
20150312MILIND-17,Bennett Salvatore
20150316LALGSW-3,Derrick Stafford
20150319MINNYK-22,Kevin Cutler
20150322DALPHO-8,Josh Tiven
20150325LALMIN-10,Bennett Salvatore
20150401DALOKC-1,Joe Crawford
20150408PHODAL-1,"Scott Foster,Sean Wright"
20150410DALDEN-4,Dedric Taylor
20150410MEMUTA-6,Kevin Scott
20150411TORMIA-1,Steve Anderson
20150412OKCIND-6,Courtney Kirkland
20150415DENGSW-2,Leon Wood
20150415WASCLE-17,Scott Twardoski
20150422BKNATL-2,Michael Smith
20150423CHIMIL-23,Ed Malloy
20150423GSWNOP-21,Derrick Stafford
20150427MEMPOR-0,Marc Davis
20150427MEMPOR-9,Derrick Collins
20151028INDTOR-2,Leroy Richardson
20151028INDTOR-8,Ken Mauer
20151030CHAATL-4,Scott Wall
20151030CHIDET-14,Marat Kogut
20151030OKCORL-26,Justin Van Duyne
20151102MILBKN-4,Mitchell Ervin
20151103ORLNOP-4,Ron Garretson
20151107MINCHI-0,Tyler Ford
20151109PORDEN-1,Brian Forte
20151111MILDEN-4,Tre Maddox
20151113LALDAL-1,Bennie Adams
20151113LALDAL-5,Bennie Adams
20151114CLEMIL-3,Matt Boland
20151114CLEMIL-5,Marc Davis
20151114CLEMIL-15,Karl Lane
20151114ORLWAS-3,Tony Brown
20151115TORSAC-5,Mitchell Ervin
20151118TORUTA-8,Jason Phillips
20151121WASDET-10,Monty McCutchen
20151123PHIMIN-6,Tony Brothers
20151128BKNCLE-0,"Scott Foster,Derek Richardson"
20151129PHOTOR-16,Derrick Stafford
20151130BOSMIA-2,Steve Anderson
20151130SASCHI-8,Zach Zarba
20151202LALWAS-0,Tony Brown
20151202PHODET-1,Justin Van Duyne
20151203OKCMIA-3,David Guthrie
20151205BOSSAS-2,Gediminas Petraitis
20151205BOSSAS-6,Tom Washington
20151205INDUTA-3,Rodney Mott
20151214LACDET-6,Kane Fitzgerald
20151216BOSDET-5,Courtney Kirkland
20151218DETCHI-15,Steve Anderson
20151218MILGSW-11,Tony Brothers
20151219CHAWAS-9,Bill Kennedy
20151221CHAHOU-12,Sean Corbin
20151222DETMIA-1,Bill Spooner
20151225CLEGSW-11,Scott Foster
20151226MIAORL-2,Kevin Scott
20151230LALBOS-9,Mike Callahan
20151230PHISAC-6,Scott Wall
20160102DENGSW-7,Justin Van Duyne
20160102MEMUTA-4,Scott Twardoski
20160102NOPDAL-5,Tony Brown
20160102NOPDAL-6,Tom Washington
20160105SACDAL-25,Aaron Smith
20160108OKCLAL-6,Bennie Adams
20160110INDHOU-15,Lauren Holtkamp
20160112CLEDAL-2,Eric Lewis
20160113GSWDEN-9,Kevin Scott
20160114CHIPHI-3,Eli Roe
20160116BOSWAS-14,Tyler Ford
20160117INDDEN-8,Bill Kennedy
20160118HOULAC-3,James Williams
20160118PHINYK-9,Josh Tiven
20160118PHINYK-18,Karl Lane
20160120MINDAL-6,Marc Davis
20160121ATLSAC-19,J.T. Orr
20160121MEMDEN-1,Mitchell Ervin
20160122CHAORL-1,Kevin Cutler
20160125CHASAC-30,Kane Fitzgerald
20160125CHASAC-41,Steve Anderson
20160126DALLAL-6,Sean Wright
20160126LACIND-11,"Ron Garretson,Justin Van Duyne"
20160127OKCMIN-4,Leroy Richardson
20160128DENWAS-15,Ken Mauer
20160130WASHOU-0,Josh Tiven
20160204NYKDET-7,Rodney Mott
20160205BOSCLE-11,Bill Spooner
20160205MEMNYK-3,Nick Buchert
20160206DALMEM-16,John Goble
20160206DALMEM-24,John Goble
20160206LALSAS-8,Sean Corbin
20160208ORLATL-13,Marc Davis
20160208PORMEM-14,Bennie Adams
20160209UTADAL-20,Scott Wall
20160210LACBOS-11,Bennie Adams
20160210LACBOS-13,Derrick Stafford
20160219DALORL-11,Ken Mauer
20160219MINMEM-0,Gediminas Petraitis
20160219MINMEM-2,Ed Malloy
20160222INDMIA-28,Zach Zarba
20160224DENLAC-6,Brian Forte
20160226CHAIND-1,Matt Boland
20160226DENDAL-21,Scott Foster
20160301ATLGSW-7,Marc Davis
20160301ATLGSW-13,Leroy Richardson
20160302NOPHOU-0,"Kane Fitzgerald,Brent Barnaky"
20160307SASIND-3,Lauren Holtkamp
20160308BKNTOR-11,Eli Roe
20160314MINPHO-3,J.T. Orr
20160316DALCLE-2,Marat Kogut
20160317WASPHI-2,Curtis Blair
20160328NYKNOP-12,Kevin Cutler
20160329CHIIND-9,
20160329OKCDET-1,
20160402DETCHI-7,John Goble
20160403OKCHOU-7,
20160403OKCHOU-11,
20160405MINGSW-34,Lauren Holtkamp
20160407PHOHOU-14,Tre Maddox
20160407TORATL-7,Kevin Cutler
20160408SASDEN-5,Eric Dalen
20160410MILPHI-6,Kevin Scott
20160412OKCSAS-0,Derrick Stafford
20160416BOSATL-1,Rodney Mott
20160422ATLBOS-0,Zach Zarba
20160424ATLBOS-13,Jason Phillips
20160509GSWPOR-3,Scott Foster
20160510OKCSAS-4,Monty McCutchen
20160511MIATOR-1,Tony Brothers
20161031DENTOR-1,Gary Zielinski
20161102CHIBOS-3,Marat Kogut
20161104CHABKN-11,Jason Phillips
20161104PHONOP-15,Derrick Stafford
20161108DENMEM-14,Matt Boland
20161111SACPOR-12,Leroy Richardson
20161114MEMUTA-2,C.J. Washington
20161115BKNLAL-9,
20161116MEMLAC-3,J.T. Orr
20161116NOPORL-14,Dedric Taylor
20161118ATLCHA-3,Leroy Richardson
20161121HOUDET-14,Bill Kennedy
20161123SASCHA-7,Eric Dalen
20161201DALCHA-3,James Williams
20161223ATLDEN-1,Justin Van Duyne
20161223ATLDEN-5,Eric Lewis
20161226DALNOP-6,Karl Lane
20161228INDWAS-3,David Guthrie
20161228INDWAS-8,David Guthrie
20170104MEMLAC-8,Sean Wright
20170114ORLUTA-2,Curtis Blair
20170121PORBOS-15,Bill Kennedy
20170121SACCHI-16,Michael Smith
20170124MINPHO-6,Kevin Scott
20170127SACIND-3,J.T. Orr
20170129NYKATL-21,"Scott Foster,Michael Smith"
20170129NYKATL-34,Michael Smith
20170131NOPTOR-5,Eric Dalen
20170203CHIHOU-16,Tony Brothers
20170207PORDAL-1,Sean Corbin
20170208WASBKN-20,Sean Wright
20170303SASNOP-5,Marat Kogut
20170305UTASAC-8,Ken Mauer
20170321CHITOR-7,Ken Mauer
20170326MIABOS-15,James Williams
20170328PHIBKN-7,Tyler Ford
20170409CLEATL-19,Derrick Collins
20170409CLEATL-39,Leroy Richardson
20170425UTALAC-17,John Goble
20171018HOUSAC-8,Kevin Scott
20171023WASDEN-4,Scott Wall
20171027DENATL-5,C.J. Washington
20171027OKCMIN-17,Ken Mauer
20171028PHIDAL-14,Derek Richardson
20171028PHOPOR-20,Sean Corbin
20171103INDPHI-0,Scott Twardoski
20171103MIADEN-16,James Capers
20171111MINPHO-20,Haywoode Workman
20171120BOSDAL-3,J.T. Orr
20171129BKNDAL-8,Eric Lewis
20171129WASPHI-4,Matt Boland
20171201NOPUTA-5,Monty McCutchen
20171218MIAATL-6,Tyler Ford
20171218MIAATL-19,Tyler Ford
20171218PHICHI-3,Haywoode Workman
20171220SASPOR-8,Bill Spooner
20171222NYKDET-3,Eric Lewis
20171223BKNIND-4,Nick Buchert
20171227DENMIN-1,Nick Buchert
20171227DENMIN-16,Haywoode Workman
20180108ATLLAC-7,Ray Acosta
20180113BKNWAS-30,Scott Wall
20180113LALDAL-27,Matt Boland
20180116DALDEN-11,Rodney Mott
20180117SASBKN-18,Scott Foster
20180122MIAHOU-1,
20180122PHIMEM-6,Mark Lindsay
20180122PORDEN-5,Karl Lane
20180122PORDEN-7,Marc Davis
20180124NOPCHA-8,David Guthrie
20180126UTATOR-7,Brian Forte
20180127DALDEN-11,Ron Garretson
20180201TORWAS-23,Tom Washington
20180203MIADET-12,"Brian Forte,Jacyn Goble"
20180204PORBOS-16,Haywoode Workman
20180209MILMIA-21,Aaron Smith
20180214OKCMEM-6,Matt Boland
20180304CHATOR-1,James Capers
20180306MIAWAS-17,"Scott Foster,Marat Kogut"
20180316DALTOR-41,Tyler Ford
20180320HOUPOR-2,Derrick Stafford
20180321CHABKN-0,Lauren Holtkamp
20180324LALMEM-13,Ray Acosta
20180325MIAIND-18,Derek Richardson
20180325SASMIL-6,
20180328PORMEM-17,James Capers
20180329INDSAC-3,Ben Taylor
20180405MINDEN-17,James Williams
20180405PORHOU-15,Jason Phillips
20180415MILBOS-3,
inc20180415MILBOS-38,
20180421PHIMIA-15,Jason Phillips